state_code,state_name,rto_code,full_rto_code,registration_prefix,city
AN,Andaman and Nicobar Islands,01,AN-01,AN01,Port Blair / Andaman District
AN,Andaman and Nicobar Islands,02,AN-02,AN02,Car Nicobar / Nicobar District
AP,Andhra Pradesh,01,AP-01,AP01,Adilabad / Mancherial / Nirmal
AP,Andhra Pradesh,02,AP-02,AP02,Anantapur / Hindupur
AP,Andhra Pradesh,03,AP-03,AP03,Chittoor / Tirupati / Madanapalle / Rajampet
AP,Andhra Pradesh,04,AP-04,AP04,Kadapa / Proddatur
AP,Andhra Pradesh,05,AP-05,AP05,Kakinada / Amalapuram / Rajahmundry
AP,Andhra Pradesh,06,AP-06,AP06,Kakinada
AP,Andhra Pradesh,07,AP-07,AP07,Guntur / Piduguralla / Narasaraopet / Repalle
AP,Andhra Pradesh,08,AP-08,AP08,Guntur
AP,Andhra Pradesh,09,AP-09,AP09,Khairtabad / Hyderabad District
AP,Andhra Pradesh,10,AP-10,AP10,Secunderabad / Hyderabad District
AP,Andhra Pradesh,11,AP-11,AP11,Malakpet / Hyderabad District
AP,Andhra Pradesh,12,AP-12,AP12,Bahadurpura / Hyderabad District
AP,Andhra Pradesh,13,AP-13,AP13,Mehdipatnam / Hyderabad District
AP,Andhra Pradesh,14,AP-14,AP14,Karimnagar
AP,Andhra Pradesh,15,AP-15,AP15,Karimnagar / Jagtial / Peddapalli
AP,Andhra Pradesh,16,AP-16,AP16,Vijayawada / Gudivada / Machilipatnam / Nandigama
AP,Andhra Pradesh,17,AP-17,AP17,Vijayawada / Gudivada / Machilipatnam / Nandigama
AP,Andhra Pradesh,18,AP-18,AP18,Nuzvid
AP,Andhra Pradesh,19,AP-19,AP19,Nuzvid
AP,Andhra Pradesh,20,AP-20,AP20,Khammam / Kothagudem / Sathupally / Yellandu
AP,Andhra Pradesh,21,AP-21,AP21,Kurnool / Adoni / Nandyal
AP,Andhra Pradesh,22,AP-22,AP22,Mahaboobnagar / Pebbair / Gadwal
AP,Andhra Pradesh,23,AP-23,AP23,Medak / Siddipet / Sangareddy
AP,Andhra Pradesh,24,AP-24,AP24,Nalgonda / Bhongir / Suryapet
AP,Andhra Pradesh,25,AP-25,AP25,Nizamabad / Kamareddy
AP,Andhra Pradesh,26,AP-26,AP26,Nellore / Kavali / Gudur / Sullurpeta
AP,Andhra Pradesh,27,AP-27,AP27,Ongole / Chirala / Markapur / Prakasam
AP,Andhra Pradesh,28,AP-28,AP28,Ranga Reddy
AP,Andhra Pradesh,29,AP-29,AP29,Ranga Reddy
AP,Andhra Pradesh,30,AP-30,AP30,Srikakulam / Tekkali / Palasa / Sompeta / Ichchapuram / Kaviti
AP,Andhra Pradesh,31,AP-31,AP31,Visakhapatnam / Gajuwaka / Anakapalli
AP,Andhra Pradesh,32,AP-32,AP32,Visakhapatnam
AP,Andhra Pradesh,33,AP-33,AP33,Gajuwaka
AP,Andhra Pradesh,34,AP-34,AP34,Gajuwaka
AP,Andhra Pradesh,35,AP-35,AP35,Vizianagaram
AP,Andhra Pradesh,36,AP-36,AP36,Warangal / Jangaon / Mahabubabad
AP,Andhra Pradesh,37,AP-37,AP37,Eluru / Jangareddygudem / Kovvur / Tadepalligudem / Tanuku / Bhimavaram / Palakollu / Chintalapudi
AP,Andhra Pradesh,39,AP-39,AP39,Andhra Pradesh (state-wide uniform series)
